,vm_id,pm_name,site_id,cores,start_time,end_time
7248,bb66f62762bff57232e21123486a570b,2bc22184a447f8dc7738d88bf88c08c9,jinan-telecom,4,1549167969,1595174400
7258,e2b35a1c57a6b417d81c61e87085c47c,203d316f2b8e9615c6cd85f06828a240,jinan-telecom,16,1594114831,2593496200
7261,c7e13f5fd913e5981385bdbae618bdfc,203d316f2b8e9615c6cd85f06828a240,jinan-telecom,16,1594146602,1625682602
7295,b081ec50b58158ce57e30ea9f27e116c,203d316f2b8e9615c6cd85f06828a240,jinan-telecom,16,1594290602,1625826602
7390,12562939883adcd3e7a5e480a9ab4532,bcdca8c99f341ef9f3adf616ca5261ef,jinan-telecom,8,1547626482,1847728426
1866,70cdc2781fe1f136e1443f8f8e27e567,e95e482f8a045c02ec397196590a9dae,jinan-unicom,2,1559184243,2974803442
2349,70e5ec80792042f9b3b884cf0fbafdc4,29fa23ba1a4106138768b54f6935b3fa,jinan-unicom,64,1567672642,4721272642
2350,088f9939660273bffc64d06b024930df,2aa1a2168ec1299b5d1f6b78108f2368,jinan-unicom,64,1567672642,4721272642
2351,b288ef2177221c7117b5a694098c69cd,4e242b27a540a2886f84506f122fac0a,jinan-unicom,64,1567672642,4721272642
2352,0a3dd857eeac04fec98eb5b34997174b,1b00bda5dd26030add2d0939c3878e87,jinan-unicom,64,1567672642,4721272642
2353,387d81f10c61168d539fd3ddf5abe6d2,74e34dc256976a0ff547e294a78818fc,jinan-unicom,64,1567672642,4721272642
2354,02f724102fa8c5fc654af4ac6ecfb624,67f668838120c573634fd815bf0140e0,jinan-unicom,64,1567672642,4721272642
2355,9a7e71e87af9c9588ae3da4a55a65a41,4a8d6b72bc19549e65a4e09d7fad099f,jinan-unicom,64,1567672642,4721272642
2356,c4f2e5a2710ab8fd2738c0cd1a2f382c,2293af6f1bc68495dcee225ebb4be458,jinan-unicom,64,1567672642,4721272642
2357,b9d9042917e876dbd99dc8ffc6083889,1b64fd71b7af7042e43c00b215241cef,jinan-unicom,64,1567672642,4721272642
2358,c712fc8e13d4177e4088e4a1e71275d0,5299bb3e08cc8825bf89bddcdac83cc3,jinan-unicom,64,1567672642,4721272642
2359,335a4e3ec14849543edab4449338adee,28981bd3731b0799ad69b80c05102be2,jinan-unicom,64,1567672642,4721272642
2360,50b6d96bfbeba3c27557bb355a12d194,6a2d2f6ab2a1b64fa33f875ae5180615,jinan-unicom,32,1567672642,4721272642
2361,8ba835c05d2feb063cee887c3fac26e3,d3055d86efbcd1df2a93221aa43eb3d0,jinan-unicom,32,1567672642,4721272642
